Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Marketing,School Counselor,3.0,6,2,2,0,9,1,2,3,4,1,2,0,3,1
Business,Counselor,4.0,1,2,4,0,2,0,1,2,3,0,1,3,1,1
Architecture,Architectural Technologist,4.3,5,2,4,0,8,1,4,0,1,0,1,2,2,0
Medicine,Doctor,2.9,2,2,0,0,7,0,0,3,4,1,3,1,0,1
Computer Science,Chemical Engineer,3.4,0,2,4,0,4,0,3,4,4,1,4,4,2,1
Chemistry,Ecologist,2.5,2,0,1,0,5,1,3,4,2,0,4,1,2,0
Art,Actuary,4.7,5,0,0,0,1,0,2,0,0,1,4,0,1,1
Psychology,Astronomer,3.7,1,0,2,1,3,0,2,0,4,2,3,3,1,0
Psychology,Curriculum Developer,3.3,5,1,0,0,9,0,3,0,0,3,4,2,4,0
Marketing,Acoustics Specialist,3.3,0,0,3,1,6,0,2,1,1,3,2,1,4,0
Physics,Zoologist,4.8,0,1,1,1,2,0,3,4,3,3,1,4,0,1
Psychology,Special Education Teacher,2.9,0,2,1,0,5,1,4,1,0,2,3,4,3,1
Marketing,Pharmacist,4.6,9,0,1,0,4,0,1,4,3,4,3,4,2,0
Business,Mechanical Engineer,2.9,3,0,4,0,0,1,2,1,3,3,4,4,0,1
Education,Legal Secretary,4.3,7,0,1,1,5,1,1,1,3,0,3,1,3,1
Physics,Biologist,3.3,1,2,1,1,3,0,3,0,3,1,2,0,3,0
Biology,Brand Manager,3.0,7,2,2,0,0,0,2,0,1,2,0,2,1,0
Business,Financial Analyst,4.4,9,2,3,0,4,0,1,0,3,0,2,1,3,1
Engineering,Illustrator,3.7,3,0,0,1,1,1,1,0,2,0,0,2,1,1
Computer Science,School Counselor,3.0,6,2,1,0,3,0,4,4,3,4,3,2,3,1
Medicine,Architect,2.6,1,1,1,1,2,0,4,1,1,3,4,1,3,0
Medicine,Construction Manager,3.3,6,1,2,1,1,0,4,1,4,4,0,2,3,1
Psychology,Legal Consultant,4.6,1,2,0,0,1,1,1,2,4,3,1,4,2,1
Law,Human Resources Specialist,3.2,0,2,2,0,7,1,1,2,3,1,0,1,3,1
Education,Principal,2.7,4,1,2,1,2,1,0,0,1,0,2,2,4,1
Education,Acoustics Specialist,4.9,2,1,2,1,9,0,0,4,4,0,2,2,3,0
Education,Nuclear Physicist,4.3,6,2,4,1,2,1,4,1,0,3,2,4,1,1
Physics,Nurse,4.1,7,1,1,1,1,1,1,3,4,1,3,1,4,1
Psychology,Legal Analyst,4.1,0,2,4,1,3,1,4,0,3,2,3,1,0,1
Psychology,Financial Analyst,4.3,5,2,2,1,2,0,3,2,4,4,4,3,3,1
Business,Quantum Physicist,2.9,6,0,2,0,6,1,0,3,4,1,2,4,4,1
Education,Biologist,3.4,7,0,1,1,9,0,2,1,2,0,2,2,0,0
Finance,Digital Marketing Specialist,2.9,8,0,4,0,6,1,0,4,3,4,4,1,2,1
Business,Education Administrator,3.6,8,2,0,0,5,1,0,0,3,3,2,0,3,0
Computer Science,Chemist,4.8,7,0,4,0,1,1,0,1,4,3,0,2,3,1
Finance,Web Developer,3.9,0,1,1,1,8,1,0,4,0,0,0,1,4,0
Finance,Financial Advisor,4.3,2,2,4,0,4,0,3,4,4,4,4,3,0,1
Architecture,Web Developer,4.6,9,2,2,0,3,0,3,2,3,0,4,2,2,1
Education,Composer,3.8,5,0,4,1,4,1,4,4,2,0,2,3,4,0
Art,Fluid Mechanics Engineer,4.4,8,0,1,0,0,0,2,3,4,3,0,1,3,1
Art,Judge,4.2,5,1,4,1,7,0,4,3,3,2,4,1,0,0
Law,Sound Engineer,3.6,7,0,1,1,0,0,4,1,4,0,3,0,0,1
Computer Science,AI Researcher,4.0,1,0,4,0,1,1,2,2,2,4,3,2,1,1
Medicine,Legal Analyst,3.4,9,1,0,1,2,0,3,4,2,2,2,1,1,0
Computer Science,Aerospace Engineer,3.6,2,1,1,1,2,0,0,2,0,0,1,2,1,1
Marketing,Conductor,4.6,1,2,0,1,8,0,0,2,1,4,2,2,4,1
Biology,Financial Analyst,4.1,5,2,1,1,0,1,1,3,1,3,2,2,3,1
Psychology,Data Scientist,4.0,0,1,3,1,5,0,0,2,0,2,1,0,3,0
Marketing,Financial Controller,4.3,6,1,2,0,2,1,4,3,0,0,4,4,4,1
Engineering,AI Researcher,4.2,0,1,1,0,5,1,3,3,3,1,4,1,0,0
Chemistry,Legal Analyst,4.8,5,2,2,1,9,1,2,4,4,4,0,0,0,1
Business,Music Therapist,3.1,5,1,0,1,5,0,1,2,2,3,3,1,1,0
Education,Psychologist,4.9,8,0,4,0,6,1,1,4,0,3,2,1,2,1
Computer Science,Art Director,3.0,3,2,1,0,1,1,4,0,1,2,4,2,0,1
Engineering,Aerospace Engineer,4.1,9,0,4,0,8,0,0,1,3,0,2,3,3,1
Art,Construction Manager,3.5,5,2,1,0,3,0,1,3,3,1,2,2,0,0
Chemistry,Credit Analyst,5.0,0,2,3,1,7,1,4,1,4,3,3,1,1,0
Music,Legal Consultant,4.2,6,2,2,0,2,1,3,4,4,3,3,2,3,0
Physics,Quantum Physicist,3.6,5,2,2,1,7,0,4,3,1,0,1,3,2,1
Marketing,Biomedical Engineer,4.2,7,0,3,0,8,1,0,4,4,4,0,1,4,1
Law,Clinical Psychologist,3.8,7,0,1,1,1,1,2,2,2,4,0,2,0,0
Computer Science,Microbiologist,3.1,0,0,4,1,9,0,1,3,2,1,1,3,2,0
Physics,Credit Analyst,3.5,3,0,0,1,9,0,4,3,2,1,1,3,4,0
Medicine,Ecologist,2.7,7,1,2,0,2,0,3,0,1,0,3,2,4,1
Education,Biologist,3.9,9,1,4,1,1,0,1,3,4,3,0,0,0,0
Medicine,Web Developer,3.4,1,1,3,0,3,0,3,3,1,4,3,2,0,1
Music,Analytical Chemist,3.7,3,2,4,0,1,0,1,2,1,1,1,3,1,0
Engineering,Special Education Teacher,3.6,2,1,2,1,7,1,0,0,4,2,3,4,0,1
Engineering,Electrical Engineer,3.2,2,1,2,1,5,0,1,3,2,1,0,2,0,0
Chemistry,Landscape Architect,4.8,2,0,0,1,4,0,0,1,2,3,4,0,3,1
Psychology,Art Director,4.5,4,2,1,1,5,0,4,1,4,2,1,3,4,0
Engineering,Education Administrator,4.2,8,1,3,1,2,0,1,0,3,3,0,2,3,0
Engineering,Web Developer,2.7,5,2,0,0,1,0,3,2,3,4,0,3,4,1
Psychology,Biomedical Engineer,4.4,2,0,2,1,6,1,4,2,0,0,2,4,4,0
Architecture,Special Education Teacher,3.2,4,0,1,1,9,1,4,1,4,2,3,2,3,1
Engineering,Marketing Specialist,2.6,2,0,2,0,9,0,1,1,1,3,2,4,2,0
Education,Zoologist,4.9,8,0,0,1,3,1,2,0,2,4,3,0,3,1
Medicine,School Psychologist,2.8,2,2,4,1,9,1,1,3,3,4,3,1,0,1
Music,Social Media Manager,2.9,9,0,4,0,3,1,0,4,3,4,0,3,1,1
Medicine,Physicist,4.2,0,2,2,0,6,0,2,0,4,2,4,0,3,0
Architecture,Biochemist,4.6,6,2,3,0,8,1,3,3,4,1,1,4,1,0
Chemistry,Biomedical Engineer,4.7,1,0,3,0,3,1,0,0,4,2,2,2,4,0
Law,Legal Analyst,3.7,1,2,4,0,2,1,3,4,4,4,3,2,4,0
Computer Science,Industrial-Organizational Psychologist,4.9,0,2,4,1,5,1,1,1,0,1,3,2,2,0
Finance,Accountant,3.6,9,2,1,1,0,1,3,3,1,2,2,4,3,1
Engineering,Investment Banker,4.3,1,2,2,0,8,0,4,3,2,2,3,0,4,1
Music,Legal Secretary,4.2,1,0,4,1,4,0,4,0,0,0,2,1,4,0
Engineering,AI Researcher,4.6,1,0,2,0,9,0,2,4,2,1,1,0,1,0
Biology,Construction Manager,3.0,6,2,1,1,2,1,3,4,3,0,2,0,3,1
Computer Science,Advertising Manager,3.1,9,0,0,1,8,0,3,0,4,3,3,2,0,1
Education,Legal Secretary,3.4,2,2,1,0,1,1,0,2,3,2,0,3,0,1
Business,Pharmacist,3.2,7,2,0,1,4,1,3,1,3,0,4,3,3,1
Business,Financial Analyst,3.8,3,0,1,0,1,1,1,2,3,4,4,0,1,1
Education,Human Resources Specialist,4.9,9,2,1,1,5,1,3,2,4,4,1,0,0,0
Architecture,Quantum Physicist,4.4,8,0,2,1,4,0,1,3,2,2,3,4,1,1
Psychology,Acoustics Specialist,2.8,4,0,2,0,6,0,3,0,0,1,3,0,4,0
Music,Sound Engineer,3.8,7,0,1,1,0,1,1,2,1,4,3,2,3,1
Law,Mechanical Engineer,3.6,2,1,0,1,5,0,2,4,4,2,2,4,1,1
Architecture,Nurse,2.7,6,0,3,1,8,0,1,3,4,4,4,2,3,1
Finance,Financial Controller,3.3,1,1,4,0,5,0,3,2,1,4,2,3,1,0
Chemistry,Social Media Manager,3.6,8,1,4,1,6,0,1,1,2,2,0,1,3,0
Engineering,Education Administrator,3.6,7,0,2,0,3,0,1,1,1,4,0,4,4,0
Engineering,Principal,4.7,2,0,4,0,1,1,3,2,1,3,4,1,2,1
Medicine,Principal,4.8,1,0,2,0,3,1,4,4,3,0,2,2,2,0
Biology,Surgeon,3.7,1,2,1,0,7,0,1,0,1,0,1,1,0,1
Engineering,Chemical Engineer,3.1,5,2,1,1,2,1,3,1,1,3,2,3,2,1
Computer Science,Special Education Teacher,2.7,5,2,4,1,0,1,1,0,0,4,3,0,4,1
Finance,Marketing Manager,3.0,5,1,3,1,7,1,0,1,1,3,0,2,0,1
Marketing,Biomedical Engineer,3.7,0,2,4,1,6,0,2,2,4,3,4,1,0,1
Psychology,Clinical Psychologist,4.5,6,1,3,0,7,1,3,0,1,4,4,3,4,1
Education,AI Researcher,4.5,4,0,1,0,5,1,1,3,4,2,1,4,3,0
Art,Cybersecurity Analyst,2.6,8,2,2,0,5,1,3,1,4,1,2,1,1,1
Computer Science,Advertising Manager,2.9,0,1,2,1,8,0,1,0,2,3,2,2,0,1
Engineering,Financial Advisor,4.7,2,1,0,0,6,0,0,2,2,0,1,0,0,0
Music,Civil Engineer,3.3,9,1,1,0,9,0,0,1,0,3,3,4,3,1
Architecture,Construction Manager,4.1,3,0,4,1,8,0,4,0,0,4,2,1,3,1
Finance,Entrepreneur,3.6,2,0,3,1,8,0,0,4,3,3,1,1,0,1
Architecture,Psychologist,3.0,0,2,1,1,5,0,3,4,0,1,3,1,1,1
Finance,Counselor,3.5,5,1,2,1,9,1,4,1,2,0,2,4,4,0
Education,Artist,3.8,4,0,1,1,7,0,2,4,3,0,4,0,2,1
Psychology,Electrical Engineer,5.0,8,0,3,1,6,0,0,3,4,2,1,2,1,0
Marketing,Aerospace Engineer,4.9,7,0,2,0,6,1,1,4,2,1,2,1,3,0
Chemistry,Sound Engineer,3.0,6,2,3,1,4,0,1,0,3,4,1,4,4,1
Business,Chemist,4.5,7,1,0,0,4,1,2,0,3,4,3,0,0,0
Biology,Psychologist,4.9,9,0,1,1,1,1,3,4,3,2,4,1,0,1
Chemistry,Digital Marketing Specialist,2.9,7,1,2,1,7,0,3,4,4,4,4,1,4,1
Psychology,Web Developer,3.4,1,2,3,1,1,1,1,1,0,4,2,4,4,0
Law,Marketing Specialist,4.1,2,1,0,1,3,1,3,0,0,1,3,4,1,1
Chemistry,Biologist,3.9,1,2,4,0,3,0,4,4,3,2,1,3,3,0
Medicine,Composer,2.8,2,0,1,0,3,0,0,4,3,3,1,0,1,1
Chemistry,Manager,3.8,8,0,4,1,8,0,2,0,4,3,1,1,0,0
Chemistry,Brand Manager,4.1,4,0,4,0,4,0,2,2,3,0,4,1,3,1
Art,Organic Chemist,3.1,2,2,2,0,8,1,2,2,1,2,0,3,0,0
Chemistry,Biomedical Engineer,4.1,5,0,2,1,8,0,3,1,3,4,4,0,1,0
Marketing,Marketing Specialist,4.4,4,1,0,1,2,0,0,0,3,0,1,4,0,1
Engineering,Financial Controller,4.8,4,2,0,0,2,1,3,3,4,4,3,2,4,0
Engineering,Financial Analyst,2.6,5,1,2,0,3,0,1,1,3,4,1,0,0,0
Business,Nurse,3.2,7,1,2,1,1,0,4,3,0,4,3,3,3,1
Marketing,Aerospace Engineer,3.7,7,0,1,1,1,1,4,1,2,4,1,0,0,1
Physics,School Counselor,4.4,5,0,3,1,6,0,2,1,1,2,0,3,2,1
Psychology,Civil Engineer,4.8,4,0,3,0,5,0,1,4,0,2,3,0,1,1
Medicine,Market Research Analyst,3.9,4,0,1,0,9,1,1,0,0,4,0,2,4,1
Business,Judge,2.6,4,2,3,0,5,1,1,2,1,4,0,0,2,1
Chemistry,Architect,3.8,7,1,3,1,0,0,4,1,4,3,1,0,3,0
Physics,Microbiologist,2.9,0,1,2,0,3,1,2,4,0,0,4,1,2,1
Art,Risk Analyst,4.5,3,0,0,1,5,1,2,2,4,4,3,3,2,1
Computer Science,Legal Analyst,3.3,1,2,3,0,5,1,4,3,3,1,3,0,1,0
Chemistry,Counselor,3.6,3,0,1,0,0,1,3,3,4,2,1,0,2,0
Physics,Digital Marketing Specialist,4.4,7,0,4,0,5,1,2,0,0,4,0,2,4,0
Law,Analytical Chemist,3.4,7,1,2,1,2,0,3,2,3,2,2,4,3,0
Psychology,Data Scientist,3.8,2,0,3,1,9,1,2,1,1,0,3,2,1,0
Psychology,Psychologist,2.8,5,2,4,1,2,1,0,4,4,1,2,4,1,1
Music,Marketing Specialist,4.3,5,0,4,1,4,0,3,2,3,4,4,2,3,0
Engineering,Surgeon,4.9,4,1,4,0,4,0,4,0,0,1,3,3,0,0
Medicine,Pharmacist,4.3,5,1,2,0,7,1,1,1,3,2,2,2,2,0
Art,Civil Engineer,3.1,9,0,4,1,5,1,4,2,3,4,0,4,3,1
Art,Marketing Specialist,3.6,5,0,3,1,6,1,4,0,1,1,1,0,0,1
Biology,Market Research Analyst,2.7,1,2,3,0,1,0,0,0,4,3,3,3,4,0
Psychology,Composer,3.0,6,1,1,1,0,1,2,0,0,4,4,0,1,0
Business,Pharmacist,2.7,5,2,2,1,4,0,3,2,3,4,3,4,2,1
Finance,Legal Secretary,4.8,9,1,2,0,0,1,3,0,3,1,4,4,3,1
Art,Entrepreneur,5.0,6,2,3,1,1,0,1,1,2,4,2,4,1,1
Business,Human Resources Specialist,3.4,6,1,1,1,9,1,4,0,3,4,1,2,2,0
Psychology,Geneticist,3.0,2,2,0,1,1,1,0,0,1,1,1,4,4,0
Finance,School Counselor,2.6,4,2,4,0,1,1,3,2,2,4,2,4,1,0
Law,Legal Secretary,4.7,0,2,1,1,7,0,0,2,2,4,1,1,2,0
Biology,Geneticist,3.6,1,2,1,0,3,1,4,3,0,2,4,4,1,0
Physics,Financial Controller,2.9,6,2,2,1,7,0,2,0,4,1,4,1,4,1
Chemistry,Risk Analyst,3.8,2,0,2,1,7,1,0,4,3,1,3,1,0,0
Computer Science,Data Scientist,2.8,3,0,2,0,5,0,0,4,3,4,4,2,4,1
Finance,Aerospace Engineer,4.1,5,2,0,1,2,0,2,0,2,1,3,4,1,1
Engineering,Composer,4.4,2,0,2,0,6,0,0,2,2,2,3,0,2,1
Medicine,Biotechnologist,2.7,5,2,4,0,1,1,4,4,3,0,2,0,4,1
Medicine,Investment Banker,3.9,9,2,0,0,7,1,1,0,4,3,0,4,2,0
Law,Software Developer,4.5,1,2,1,0,2,0,2,1,3,0,2,3,1,0
Chemistry,Aerospace Engineer,2.6,0,2,2,1,1,1,4,2,2,1,4,3,4,0
Computer Science,Psychologist,2.7,1,1,3,0,1,0,3,4,1,0,3,2,1,0
Business,Interior Designer,4.2,8,2,4,0,5,0,1,2,3,3,0,3,3,1
Marketing,Advertising Manager,2.9,5,0,0,1,4,1,4,4,0,3,0,2,2,0
Business,Ecologist,2.7,2,0,0,0,9,1,4,1,4,2,4,2,4,0
Marketing,Doctor,4.0,1,2,4,0,1,0,2,0,3,0,3,3,4,1
Chemistry,Biochemist,3.5,3,0,2,1,6,0,1,0,2,3,1,1,4,0
Music,Actuary,3.9,2,0,2,1,2,0,1,4,3,1,4,3,2,1
Biology,Brand Manager,5.0,5,1,1,1,6,1,0,4,1,1,1,3,4,1
Computer Science,Artist,4.9,3,2,0,1,9,0,1,4,1,0,0,0,2,1
Psychology,Paralegal,2.8,5,1,3,1,0,0,0,2,4,0,4,4,1,0
Medicine,Urban Planner,3.2,0,1,1,1,0,0,4,1,2,2,0,1,3,0
Physics,Biotechnologist,3.2,8,1,2,1,1,0,1,1,2,3,3,0,2,0
Computer Science,Chemist,2.8,2,2,3,1,6,0,2,2,3,4,0,2,1,0
Marketing,Quantum Physicist,2.9,7,2,2,1,3,0,0,1,3,0,4,1,1,0
Business,Digital Marketing Specialist,3.3,8,2,3,1,8,0,0,3,2,0,0,0,1,1
Finance,Graphic Designer,3.5,1,0,0,0,4,1,1,1,0,3,1,4,3,1
Education,Data Scientist,4.1,0,0,2,1,9,0,1,3,3,3,4,2,1,1
Music,Forensic Psychologist,4.4,8,2,4,1,8,0,0,3,1,1,3,3,1,0
Physics,Music Teacher,2.9,4,2,4,1,8,0,1,2,0,2,0,3,3,0
Computer Science,Astronomer,3.0,8,0,2,0,6,0,4,2,3,1,0,0,3,1
Business,Artist,2.6,8,1,0,0,8,0,3,2,4,0,0,4,2,0
Engineering,Astronomer,3.4,0,1,4,0,7,0,1,3,4,1,2,3,3,0
Art,Digital Marketing Specialist,5.0,7,2,4,0,0,0,1,0,2,2,2,0,0,0
Biology,Market Research Analyst,4.4,9,1,3,0,6,0,0,3,3,0,0,2,3,0
Law,Teacher,4.5,1,0,1,0,5,0,1,2,3,4,4,4,0,0
Architecture,Zoologist,4.1,5,2,4,1,0,0,3,3,1,0,3,0,4,0
Medicine,Geneticist,3.8,9,0,2,1,9,1,2,2,0,1,4,3,1,1
Business,Artist,3.2,6,0,0,1,9,0,0,4,3,3,0,0,4,1
Art,Social Media Manager,3.6,7,2,0,0,3,0,3,0,2,2,4,1,3,0
Art,Advertising Manager,3.1,8,1,1,0,9,1,0,0,1,4,3,2,1,0
Business,Market Research Analyst,2.5,0,1,0,0,6,1,2,4,2,1,0,0,4,1
Finance,Advertising Manager,2.9,6,1,2,0,7,1,1,3,3,2,0,3,0,0
Architecture,Principal,3.2,1,0,0,1,8,1,4,4,1,4,4,4,0,1
Education,Sound Engineer,4.6,7,2,4,0,9,0,1,2,1,2,1,3,2,1
Medicine,Civil Engineer,3.7,0,0,1,1,7,1,3,4,2,0,1,0,0,1
Computer Science,Aerospace Engineer,4.8,9,2,3,0,3,0,3,1,1,0,2,3,3,0
Music,Clinical Psychologist,3.5,2,2,1,0,8,0,2,3,1,4,1,1,4,0
Education,Artist,2.8,6,1,4,0,1,0,3,3,0,4,3,0,3,1
Chemistry,Curriculum Developer,4.0,3,1,3,0,2,1,1,4,1,4,1,0,4,1
Computer Science,Surgeon,3.7,5,0,1,0,9,1,1,0,2,0,3,0,3,0
Law,Music Therapist,2.8,7,0,3,1,5,1,2,0,1,2,1,1,2,1
Business,Brand Manager,5.0,9,0,4,0,5,1,2,0,4,1,4,4,0,0
Engineering,Organic Chemist,2.5,8,0,3,1,4,1,3,1,3,1,3,4,1,0
Education,Clinical Psychologist,2.7,0,2,2,1,0,0,3,1,4,3,1,3,4,1
Education,Fluid Mechanics Engineer,4.4,7,0,0,0,7,1,2,2,0,1,4,2,0,1
Business,Risk Analyst,4.7,6,2,4,1,8,1,0,1,0,4,2,1,3,1
Chemistry,Composer,4.4,4,1,3,0,0,1,2,2,0,3,1,4,4,1
Physics,Microbiologist,4.2,9,0,4,1,6,1,2,3,2,2,4,2,4,1
Art,Physical Chemist,2.9,8,2,2,0,7,1,1,0,2,3,3,4,4,1
Engineering,Marketing Specialist,4.2,0,2,1,1,6,0,3,0,2,2,2,3,1,1
Art,Judge,4.3,2,1,2,0,8,1,2,2,1,1,2,1,2,0
Art,Geneticist,3.0,4,2,1,0,8,1,0,4,3,1,4,2,4,1
Music,Digital Marketing Specialist,3.3,3,1,4,0,2,1,3,3,0,0,2,2,4,1
Finance,Nuclear Physicist,4.5,4,1,3,1,5,1,2,4,0,0,4,2,3,0
Art,Architect,4.2,9,1,4,1,0,0,2,4,1,0,1,0,1,0
Business,Accountant,3.2,4,2,1,0,2,1,3,3,4,0,0,1,4,1
Education,Zoologist,3.2,6,2,3,0,1,0,2,2,3,1,2,1,3,0
Finance,Game Developer,4.9,6,0,2,1,6,1,4,1,1,0,0,3,4,0
Law,Judge,4.7,6,1,1,0,0,0,0,4,3,2,4,3,2,0
Marketing,Nuclear Physicist,3.3,9,1,0,1,8,1,4,0,0,2,0,0,4,1
Engineering,Analytical Chemist,3.0,1,0,1,1,0,1,1,3,0,2,2,4,4,1
Music,Organic Chemist,4.8,1,0,3,0,6,0,3,2,1,1,4,0,3,0
Marketing,Urban Planner,4.3,7,1,2,1,1,0,0,3,4,4,4,0,3,1
Psychology,Marketing Manager,3.6,3,0,2,1,6,1,1,1,0,4,1,2,1,1
Music,Pharmacist,4.1,2,0,0,0,2,0,1,3,1,3,0,3,0,1
Finance,Organic Chemist,3.1,5,2,4,1,9,1,4,3,4,1,1,3,2,1
Business,Pharmacist,4.3,4,1,3,0,3,0,3,2,0,4,1,3,4,1
Music,Investment Banker,4.8,4,0,0,1,5,1,3,4,4,3,4,1,1,1
Medicine,Art Director,3.6,1,0,3,1,8,1,1,1,4,2,2,2,1,0
Biology,Psychologist,3.8,4,0,0,0,8,0,1,2,1,2,0,0,0,0
Art,Illustrator,2.7,6,1,4,0,4,0,3,3,0,0,0,2,1,0
Medicine,Analytical Chemist,3.4,3,1,4,1,4,1,4,2,4,0,1,4,1,0
Architecture,Nurse,2.9,6,2,0,1,0,1,2,4,1,2,2,4,2,1
Biology,Legal Analyst,3.2,7,0,4,0,0,0,4,0,4,1,3,1,0,0
Engineering,Musician,3.0,5,0,2,0,9,1,4,1,1,1,0,0,3,1
Psychology,Financial Controller,3.2,4,0,3,1,8,1,1,3,2,3,0,3,0,0
Law,Brand Manager,3.3,5,0,1,1,7,0,0,0,0,2,3,1,1,0
Architecture,Risk Analyst,2.6,5,1,1,1,0,1,2,1,3,0,3,4,0,0
Law,Interior Designer,2.9,3,0,4,1,4,0,3,1,0,2,0,4,2,0
Chemistry,Zoologist,2.9,7,0,2,1,3,0,3,2,2,0,1,2,2,0
Engineering,Teacher,3.6,6,1,1,0,6,0,2,0,1,4,4,3,3,1
Biology,Aerospace Engineer,2.6,2,1,0,0,8,1,4,0,0,0,2,2,0,0
Architecture,Financial Analyst,4.8,4,2,2,1,8,1,0,2,2,4,2,3,0,1
Biology,Surgeon,2.6,4,1,4,0,3,1,2,2,3,1,2,3,1,1
Chemistry,Nurse,4.3,0,1,1,1,7,1,1,2,0,1,3,0,3,0
Finance,Dentist,2.6,6,1,2,1,2,1,0,2,2,1,4,0,1,0
Architecture,Curriculum Developer,4.3,5,1,0,0,5,0,3,4,4,2,3,2,3,0
Finance,Geneticist,4.5,0,0,0,1,8,0,3,1,4,2,0,0,3,1
Law,School Counselor,3.4,3,2,4,0,8,0,3,2,4,0,1,2,2,0
Business,Social Media Manager,3.5,2,2,2,1,6,1,4,0,4,1,4,2,1,1
Education,Lawyer,4.9,3,1,2,1,0,1,1,1,0,3,2,4,1,1
Architecture,Actuary,4.0,9,0,2,0,6,1,0,3,1,1,1,1,1,0
Chemistry,Social Media Manager,2.8,4,2,1,0,3,1,1,2,0,0,1,1,4,1
Finance,Pharmacist,3.0,7,2,1,0,7,1,0,0,0,0,3,2,3,1
Finance,Composer,2.9,5,0,1,0,1,0,1,4,1,1,3,2,0,1
Chemistry,Analytical Chemist,4.7,3,1,0,1,2,1,3,4,0,2,3,2,4,0
Law,Software Developer,3.1,6,2,2,1,3,0,3,1,0,4,1,4,4,0
Medicine,Risk Analyst,2.5,0,2,4,0,3,0,1,0,2,3,3,1,0,1
Finance,Civil Engineer,2.9,4,1,0,0,9,1,2,4,2,0,4,3,1,1
Music,Architectural Technologist,4.2,5,2,4,0,8,0,4,2,2,1,2,4,0,0
Music,Fluid Mechanics Engineer,2.7,8,2,1,0,5,0,0,4,2,3,0,4,2,1
Business,Urban Planner,3.5,0,2,2,1,5,1,3,1,0,0,2,4,0,1
Business,Judge,2.6,4,2,3,1,3,0,1,3,0,1,4,3,2,1
Art,Industrial-Organizational Psychologist,2.6,7,1,3,0,1,0,2,3,2,0,0,2,2,1
Marketing,Landscape Architect,3.1,7,1,3,0,2,0,2,1,3,2,2,4,1,1
Law,Teacher,4.1,9,0,1,0,9,0,0,1,2,0,3,0,4,0
Finance,Electrical Engineer,4.3,7,1,2,0,2,1,0,0,2,4,4,4,4,1
Marketing,Psychologist,4.3,4,2,2,1,2,1,0,3,4,3,1,2,0,0
Engineering,Risk Analyst,3.0,6,1,1,1,2,1,2,4,2,1,2,0,3,0
Business,Aerospace Engineer,4.3,8,1,2,0,3,1,3,4,3,1,2,2,1,1
Computer Science,Digital Marketing Specialist,3.9,7,2,2,0,2,0,0,1,3,3,0,1,1,1
Chemistry,Advertising Manager,3.1,5,1,1,1,9,0,0,0,1,3,2,1,2,1
Biology,Conductor,4.4,4,1,0,1,4,1,0,0,4,3,0,1,1,1
Architecture,Music Therapist,3.8,8,0,3,1,0,0,2,4,3,1,2,4,2,1
Engineering,Acoustics Specialist,2.6,4,1,4,0,6,0,2,0,1,0,4,2,2,0
Art,Civil Engineer,3.8,5,2,1,0,8,0,1,4,2,0,3,1,3,0
Business,Market Research Analyst,3.1,7,0,2,1,2,1,2,4,2,1,1,3,1,0
Business,Web Developer,5.0,5,2,2,1,7,1,4,4,3,2,2,0,3,0
Psychology,Psychologist,3.5,6,1,2,0,2,0,3,0,1,4,3,1,3,1
Chemistry,Conductor,3.1,4,0,3,0,5,1,3,1,0,1,4,0,4,0
Psychology,Financial Advisor,2.8,3,2,1,0,4,0,4,1,2,2,1,4,4,1
Engineering,Human Resources Specialist,4.1,6,0,3,0,5,0,3,3,0,4,0,1,1,1
Business,Psychologist,2.7,4,1,1,1,4,0,0,4,2,1,2,1,3,1
Music,Judge,3.8,5,0,4,1,9,1,1,2,4,2,0,2,1,0
Biology,Risk Analyst,3.9,1,2,2,0,2,1,0,1,3,1,4,2,0,0
Business,Industrial-Organizational Psychologist,2.7,0,1,0,1,4,0,0,3,1,0,2,3,3,1
Engineering,Accountant,4.9,6,2,3,1,3,0,0,3,0,4,4,3,4,1
Computer Science,Chemical Engineer,4.5,6,2,3,1,3,0,0,0,3,1,4,1,2,0
Finance,Fluid Mechanics Engineer,3.3,2,1,0,0,4,0,4,0,3,3,2,4,2,0
Art,Biochemist,3.2,1,0,4,1,4,0,4,4,3,1,0,3,3,0
Computer Science,Market Research Analyst,2.8,6,0,2,1,5,1,4,0,0,0,4,2,2,1
Computer Science,Psychologist,3.3,6,2,0,1,8,0,2,2,3,2,3,3,0,0
Art,Biologist,4.2,5,2,2,1,0,0,4,3,1,0,2,4,0,0
Law,Nuclear Physicist,3.7,8,1,0,1,8,1,3,0,1,2,4,0,1,0
Architecture,Music Teacher,4.9,2,1,0,1,8,1,3,1,4,0,2,4,0,0
Physics,Actuary,4.0,9,1,3,1,4,0,0,4,4,3,0,1,3,1
Chemistry,Mechanical Engineer,3.6,7,2,2,1,3,1,0,3,3,2,4,0,4,1
Medicine,Aerospace Engineer,4.4,1,1,2,1,1,1,3,1,1,1,0,0,4,1
Art,Architect,4.2,1,1,0,0,3,1,1,0,0,2,4,3,3,1
Architecture,Nurse,3.8,6,2,0,1,8,0,3,3,2,1,4,0,4,0
Chemistry,Legal Analyst,4.3,6,1,0,1,8,1,3,3,1,1,4,3,4,1
